Issue Type,Summary,Description,Epic Link,Story Points,Priority,Labels,Component/s,Assignee,Scope,Sprint (suggested)
Task,"W12-EP00-T001 — Inventory required access + secrets (Richpanel API key, Shopify access) and define secret storage plan","Ticket ID: W12-EP00-T001
Epic: EP00 — Preflight & tenant verification
Doc: docs/12_Cursor_Agent_Work_Packages/03_Tickets/W12-EP00-T001_Inventory_required_access_secrets_Richpanel_API_key_Shopify_access_and_define_se.md

Acceptance Criteria + references are in the ticket doc. Coordinate with the plan docs under docs/ (architecture, security, testing, etc.).
",<FILL_EP00_KEY>,2,P0,"wave12,ep00,preflight",Preflight,Infra/DevOps,V1,S0_Preflight
Task,W12-EP00-T002 — Verify Richpanel tenant automation capabilities needed for middleware trigger (deferred Wave 03 items),"Ticket ID: W12-EP00-T002
Epic: EP00 — Preflight & tenant verification
Doc: docs/12_Cursor_Agent_Work_Packages/03_Tickets/W12-EP00-T002_Verify_Richpanel_tenant_automation_capabilities_needed_for_middleware_trigger_de.md

Acceptance Criteria + references are in the ticket doc. Coordinate with the plan docs under docs/ (architecture, security, testing, etc.).
",<FILL_EP00_KEY>,2,P0,"wave12,ep00,preflight",Preflight,Backend,V1,S0_Preflight
Task,W12-EP00-T003 — Sample order linkage reality in tenant (Richpanel order endpoints) without storing PII,"Ticket ID: W12-EP00-T003
Epic: EP00 — Preflight & tenant verification
Doc: docs/12_Cursor_Agent_Work_Packages/03_Tickets/W12-EP00-T003_Sample_order_linkage_reality_in_tenant_Richpanel_order_endpoints_without_storing.md

Acceptance Criteria + references are in the ticket doc. Coordinate with the plan docs under docs/ (architecture, security, testing, etc.).
",<FILL_EP00_KEY>,3,P0,"wave12,ep00,preflight",Preflight,Backend,V1,S0_Preflight
Task,W12-EP00-T004 — Finalize webhook authentication approach and rotation strategy (based on tenant verification),"Ticket ID: W12-EP00-T004
Epic: EP00 — Preflight & tenant verification
Doc: docs/12_Cursor_Agent_Work_Packages/03_Tickets/W12-EP00-T004_Finalize_webhook_authentication_approach_and_rotation_strategy_based_on_tenant_v.md

Acceptance Criteria + references are in the ticket doc. Coordinate with the plan docs under docs/ (architecture, security, testing, etc.).
",<FILL_EP00_KEY>,2,P0,"wave12,ep00,preflight",Preflight,Security,V1,S0_Preflight
Task,W12-EP01-T010 — Set up AWS Organization and create dev/staging/prod accounts (Organizations-only),"Ticket ID: W12-EP01-T010
Epic: EP01 — AWS foundation
Doc: docs/12_Cursor_Agent_Work_Packages/03_Tickets/W12-EP01-T010_Set_up_AWS_Organization_and_create_dev_staging_prod_accounts_Organizations_only.md

Acceptance Criteria + references are in the ticket doc. Coordinate with the plan docs under docs/ (architecture, security, testing, etc.).
",<FILL_EP01_KEY>,5,P0,"wave12,ep01,infra",Infra,Infra/DevOps,V1,S0_Preflight
Task,W12-EP01-T011 — Create IAM roles and least-privilege policies for middleware (ingress vs worker) and CI deploy,"Ticket ID: W12-EP01-T011
Epic: EP01 — AWS foundation
Doc: docs/12_Cursor_Agent_Work_Packages/03_Tickets/W12-EP01-T011_Create_IAM_roles_and_least_privilege_policies_for_middleware_ingress_vs_worker_a.md

Acceptance Criteria + references are in the ticket doc. Coordinate with the plan docs under docs/ (architecture, security, testing, etc.).
",<FILL_EP01_KEY>,5,P0,"wave12,ep01,infra",Infra,Infra/DevOps,V1,S1_Foundation
Task,"W12-EP01-T012 — Enable baseline logging + audit (CloudTrail, CloudWatch log retention, budgets, alarms)","Ticket ID: W12-EP01-T012
Epic: EP01 — AWS foundation
Doc: docs/12_Cursor_Agent_Work_Packages/03_Tickets/W12-EP01-T012_Enable_baseline_logging_audit_CloudTrail_CloudWatch_log_retention_budgets_alarms.md

Acceptance Criteria + references are in the ticket doc. Coordinate with the plan docs under docs/ (architecture, security, testing, etc.).
",<FILL_EP01_KEY>,3,P0,"wave12,ep01,infra",Infra,Infra/DevOps,V1,S1_Foundation
Task,W12-EP01-T013 — Create Secrets Manager + SSM parameter namespaces for env config (including kill switch flags),"Ticket ID: W12-EP01-T013
Epic: EP01 — AWS foundation
Doc: docs/12_Cursor_Agent_Work_Packages/03_Tickets/W12-EP01-T013_Create_Secrets_Manager_SSM_parameter_namespaces_for_env_config_including_kill_sw.md

Acceptance Criteria + references are in the ticket doc. Coordinate with the plan docs under docs/ (architecture, security, testing, etc.).
",<FILL_EP01_KEY>,3,P0,"wave12,ep01,infra",Infra,Infra/DevOps,V1,S1_Foundation
Task,W12-EP02-T020 — Select IaC tool and scaffold infrastructure repo modules (serverless stack),"Ticket ID: W12-EP02-T020
Epic: EP02 — IaC & CI/CD foundation
Doc: docs/12_Cursor_Agent_Work_Packages/03_Tickets/W12-EP02-T020_Select_IaC_tool_and_scaffold_infrastructure_repo_modules_serverless_stack.md

Acceptance Criteria + references are in the ticket doc. Coordinate with the plan docs under docs/ (architecture, security, testing, etc.).
",<FILL_EP02_KEY>,5,P0,"wave12,ep02,infra",Infra,Infra/DevOps,V1,S1_Foundation
Task,"W12-EP02-T021 — Create CI pipeline with quality gates (unit tests, schema validation, lint, security checks)","Ticket ID: W12-EP02-T021
Epic: EP02 — IaC & CI/CD foundation
Doc: docs/12_Cursor_Agent_Work_Packages/03_Tickets/W12-EP02-T021_Create_CI_pipeline_with_quality_gates_unit_tests_schema_validation_lint_security.md

Acceptance Criteria + references are in the ticket doc. Coordinate with the plan docs under docs/ (architecture, security, testing, etc.).
",<FILL_EP02_KEY>,5,P0,"wave12,ep02,infra",Infra,Infra/DevOps,V1,S1_Foundation
