template_id,suggested_macro_name,tier,enabled_v1,channels,recommended_use,notes
t_order_status_verified,AUTO: Order Status — Verified,2,True,"default,livechat",Reference alignment (automation uses middleware templates),
t_shipping_delay_verified,AUTO: Shipping Delay — Verified,2,True,default,Reference alignment (automation uses middleware templates),
t_order_status_ask_order_number,AUTO: Order Status Ask for Order #,1,True,default,Agent macro (manual use) + reference alignment,
t_delivered_not_received_intake,AUTO: Delivered-Not-Received — Intake,1,True,default,Agent macro (manual use) + reference alignment,
t_missing_items_intake,AUTO: Missing Items — Intake,1,True,default,Agent macro (manual use) + reference alignment,
t_wrong_item_intake,AUTO: Wrong Item — Intake,1,True,default,Agent macro (manual use) + reference alignment,
t_damaged_item_intake,AUTO: Damaged Item — Intake,1,True,default,Agent macro (manual use) + reference alignment,
t_cancel_order_ack_intake,AUTO: Cancel Order Ack / Intake,1,True,default,Agent macro (manual use) + reference alignment,
t_address_change_ack_intake,AUTO: Address Change Ack / Intake,1,True,default,Agent macro (manual use) + reference alignment,
t_cancel_subscription_ack_intake,AUTO: Cancel Subscription Ack / Intake,1,True,default,Agent macro (manual use) + reference alignment,
t_billing_issue_intake,AUTO: Billing Issue Intake,1,True,default,Agent macro (manual use) + reference alignment,
t_return_request_intake,AUTO: Return Request — Intake,1,True,default,Agent macro (manual use) + reference alignment,
t_exchange_request_intake,AUTO: Exchange Request — Intake,1,True,default,Agent macro (manual use) + reference alignment,
t_refund_request_intake,AUTO: Refund Request — Intake,1,True,default,Agent macro (manual use) + reference alignment,
t_technical_support_intake,AUTO: Technical Support — Intake,1,True,default,Agent macro (manual use) + reference alignment,
t_promo_discount_info,AUTO: Promo/Discount Info,1,True,default,Agent macro (manual use) + reference alignment,
t_pre_purchase_info,AUTO: Pre‑purchase Info,1,True,default,Agent macro (manual use) + reference alignment,
t_influencer_inquiry_route,AUTO: Influencer/Marketing Inquiry — Route,1,True,default,Agent macro (manual use) + reference alignment,
t_chargeback_neutral_ack,AUTO: Chargeback/Dispute — Neutral Ack,0,False,default,Agent macro (manual use) + reference alignment,
t_legal_threat_ack,AUTO: Legal Threat — Ack,0,False,default,Agent macro (manual use) + reference alignment,
t_harassment_ack,AUTO: Harassment — Ack,0,False,default,Agent macro (manual use) + reference alignment,
t_fraud_ack,AUTO: Fraud/Suspicious — Ack,0,False,default,Agent macro (manual use) + reference alignment,
t_unknown_ack,AUTO: Unknown — Ack,1,False,default,Agent macro (manual use) + reference alignment,
