ticket_id,epic,title,owner,suggested_role,component,priority,scope,sprint,story_points,dependencies,references
W12-EP00-T001,EP00,"Inventory required access + secrets (Richpanel API key, Shopify access) and define secret storage plan",Ops/Infra,Infra/DevOps,Preflight,P0,V1,S0_Preflight,2,,docs/02_System_Architecture/AWS_Organizations_Setup_Plan_No_Control_Tower.md;docs/06_Security_Privacy_Compliance/Secrets_and_Key_Management.md;docs/03_Richpanel_Integration/Richpanel_API_Contracts_and_Error_Handling.md;docs/05_FAQ_Automation/Order_Status_Automation.md
W12-EP00-T002,EP00,Verify Richpanel tenant automation capabilities needed for middleware trigger (deferred Wave 03 items),Ops (Richpanel Admin) + Backend,Backend,Preflight,P0,V1,S0_Preflight,2,W12-EP00-T001,docs/03_Richpanel_Integration/Webhooks_and_Event_Handling.md;docs/03_Richpanel_Integration/Automation_Rules_and_Config_Inventory.md;docs/06_Security_Privacy_Compliance/Webhook_Auth_and_Request_Validation.md;docs/ROADMAP.md
W12-EP00-T003,EP00,Sample order linkage reality in tenant (Richpanel order endpoints) without storing PII,Backend,Backend,Preflight,P0,V1,S0_Preflight,3,W12-EP00-T001,docs/05_FAQ_Automation/Order_Status_Automation.md;docs/03_Richpanel_Integration/Richpanel_API_Contracts_and_Error_Handling.md;docs/07_Reliability_Scaling/Rate_Limiting_and_Backpressure.md
W12-EP00-T004,EP00,Finalize webhook authentication approach and rotation strategy (based on tenant verification),Security/Infra,Security,Preflight,P0,V1,S0_Preflight,2,W12-EP00-T002,docs/06_Security_Privacy_Compliance/Webhook_Auth_and_Request_Validation.md;docs/06_Security_Privacy_Compliance/Webhook_Secret_Rotation_Runbook.md;docs/06_Security_Privacy_Compliance/Kill_Switch_and_Safe_Mode.md
W12-EP01-T010,EP01,Set up AWS Organization and create dev/staging/prod accounts (Organizations-only),Infra,Infra/DevOps,Infra,P0,V1,S0_Preflight,5,W12-EP00-T001,docs/02_System_Architecture/AWS_Organizations_Setup_Plan_No_Control_Tower.md;docs/06_Security_Privacy_Compliance/AWS_Security_Baseline_Checklist.md
W12-EP01-T011,EP01,Create IAM roles and least-privilege policies for middleware (ingress vs worker) and CI deploy,Infra,Infra/DevOps,Infra,P0,V1,S1_Foundation,5,W12-EP01-T010,docs/06_Security_Privacy_Compliance/IAM_Least_Privilege.md;docs/06_Security_Privacy_Compliance/IAM_Access_Review_and_Break_Glass.md
W12-EP01-T012,EP01,"Enable baseline logging + audit (CloudTrail, CloudWatch log retention, budgets, alarms)",Infra/SecOps,Infra/DevOps,Infra,P0,V1,S1_Foundation,3,W12-EP01-T010,docs/06_Security_Privacy_Compliance/Security_Monitoring_Alarms_and_Dashboards.md;docs/06_Security_Privacy_Compliance/AWS_Security_Baseline_Checklist.md
W12-EP01-T013,EP01,Create Secrets Manager + SSM parameter namespaces for env config (including kill switch flags),Infra,Infra/DevOps,Infra,P0,V1,S1_Foundation,3,W12-EP01-T010;W12-EP00-T001,docs/06_Security_Privacy_Compliance/Secrets_and_Key_Management.md;docs/06_Security_Privacy_Compliance/Kill_Switch_and_Safe_Mode.md;docs/07_Reliability_Scaling/parameter_defaults_v1.yaml
W12-EP02-T020,EP02,Select IaC tool and scaffold infrastructure repo modules (serverless stack),Infra,Infra/DevOps,Infra,P0,V1,S1_Foundation,5,W12-EP01-T010,docs/02_System_Architecture/AWS_Serverless_Reference_Architecture.md;docs/07_Reliability_Scaling/parameter_defaults_v1.yaml
W12-EP02-T021,EP02,"Create CI pipeline with quality gates (unit tests, schema validation, lint, security checks)",Infra/Backend,Infra/DevOps,Infra,P0,V1,S1_Foundation,5,W12-EP02-T020,docs/09_Deployment_Operations/CICD_Plan.md;docs/08_Testing_Quality/LLM_Regression_Gates_Checklist.md;docs/08_Testing_Quality/Contract_Tests_and_Schema_Validation.md
