Category,Item,Required,Owner,Environment,Evidence,Status
Org,Organizations created + accounts (dev/staging/prod),Yes,Dev,All,,Todo
Org,Root MFA enabled (each account),Yes,Dev,All,,Todo
IAM,SSO (IAM Identity Center) enabled,Recommended,Dev,All,,Todo
Secrets,Secrets stored in Secrets Manager,Yes,Dev,All,,Todo
API,Webhook auth enforced (token/HMAC),Yes,Dev,All,,Todo
API,API throttling configured,Yes,Dev,All,,Todo
API,WAF rate-based rule,Recommended,Dev,Prod,,Todo
Lambda,Reserved concurrency configured,Yes,Dev,All,,Todo
SQS,DLQ configured + alarmed,Yes,Dev,All,,Todo
DDB,TTL enabled for idempotency/state,Yes,Dev,All,,Todo
Logs,CloudWatch retention set,Yes,Dev,All,,Todo
Logs,CloudTrail enabled (prod),Yes,Dev,Prod,,Todo
Alarms,Budget alarms,Yes,Dev,All,,Todo
